Id,BldgType,OverallQual,GrLivArea,GarageArea,SalePrice
1,1Fam,7,1710,548,208500
2,1Fam,6,1262,460,181500
3,1Fam,7,1786,608,223500
4,1Fam,7,1717,642,140000
5,1Fam,8,2198,836,250000
6,1Fam,5,1362,480,143000
7,1Fam,8,1694,636,307000
8,1Fam,7,2090,484,200000
9,1Fam,7,1774,468,129900
10,2FmCon,5,1077,205,118000
11,1Fam,5,1040,384,129500
12,1Fam,9,2324,736,345000
13,1Fam,5,912,352,144000
14,1Fam,7,1494,840,279500
15,1Fam,6,1253,352,157000
16,1Fam,7,854,576,132000
17,1Fam,6,1004,480,149000
18,Duplx,4,1296,516,90000
19,1Fam,5,1114,576,159000
20,1Fam,5,1339,294,139000
21,1Fam,8,2376,853,325300
22,1Fam,7,1108,280,139400
23,1Fam,8,1795,534,230000
24,TwnhsE,5,1060,572,129900
25,1Fam,5,1060,270,154000
26,1Fam,8,1600,890,256300
27,1Fam,5,900,576,134800
28,1Fam,8,1704,772,306000
29,1Fam,5,1600,319,207500
30,1Fam,4,520,240,68500
31,1Fam,4,1317,250,40000
32,1Fam,5,1228,271,149350
33,1Fam,8,1234,484,179900
34,1Fam,5,1700,447,165500
35,TwnhsE,9,1561,556,277500
36,1Fam,8,2452,691,309000
37,1Fam,5,1097,672,145000
38,1Fam,5,1297,498,153000
39,1Fam,5,1057,246,109000
40,Duplx,4,1152,0,82000
41,1Fam,6,1324,440,160000
42,1Fam,5,1328,308,170000
43,1Fam,5,884,504,144000
44,1Fam,5,938,308,130250
45,1Fam,5,1150,300,141000
46,TwnhsE,9,1752,576,319900
47,1Fam,7,2149,670,239686
48,1Fam,8,1656,826,249700
49,2FmCon,4,1452,0,113000
50,1Fam,5,955,386,127000
51,1Fam,6,1470,388,177000
52,1Fam,6,1176,528,114500
53,Duplx,5,816,516,110000
54,1Fam,9,1842,894,385000
55,1Fam,5,1360,572,130000
56,1Fam,6,1425,576,180500
57,TwnhsI,8,1739,480,172500
58,1Fam,7,1720,565,196500
59,1Fam,10,2945,641,438780
60,1Fam,5,780,352,124900
61,1Fam,6,1158,576,158000
62,1Fam,5,1111,288,101000
63,TwnhsE,8,1370,484,202500
64,1Fam,7,1710,480,140000
65,1Fam,7,2034,645,219500
66,1Fam,8,2473,852,317000
67,1Fam,7,2207,576,180000
68,1Fam,7,1479,558,226000
69,1Fam,4,747,220,80000
70,1Fam,7,2287,667,225000
71,1Fam,7,2223,516,244000
72,1Fam,4,845,360,129500
73,1Fam,7,1718,427,185000
74,1Fam,5,1086,490,144900
75,1Fam,3,1605,379,107400
76,TwnhsI,4,988,297,91000
77,1Fam,4,952,283,135750
78,1Fam,5,1285,240,127000
79,Duplx,4,1768,0,136500
80,1Fam,5,1230,440,110000
81,1Fam,6,2142,509,193500
82,TwnhsE,6,1337,405,153500
83,1Fam,8,1563,758,245000
84,1Fam,5,1065,461,126500
85,1Fam,7,1474,400,168500
86,1Fam,8,2417,462,260000
87,1Fam,6,1560,400,174000
88,TwnhsE,6,1224,528,164500
89,1Fam,3,1526,0,85000
90,1Fam,4,990,0,123600
91,1Fam,4,1040,420,109900
92,1Fam,5,1235,480,98600
93,1Fam,5,964,432,163500
94,2FmCon,6,2291,506,133900
95,1Fam,6,1786,684,204750
96,1Fam,6,1470,420,185000
97,1Fam,7,1588,472,214000
98,1Fam,4,960,432,94750
99,1Fam,5,835,366,83000
100,1Fam,4,1225,0,128950
101,1Fam,6,1610,480,205000
102,1Fam,6,1732,476,178000
103,Duplx,5,1535,410,118964
104,1Fam,7,1226,740,198900
105,1Fam,7,1818,240,169500
106,1Fam,8,1992,648,250000
107,1Fam,4,1047,273,100000
108,1Fam,5,789,250,115000
109,1Fam,5,1517,0,115000
110,1Fam,6,1844,546,190000
111,1Fam,6,1855,325,136900
112,1Fam,7,1430,400,180000
113,1Fam,7,2696,792,383970
114,1Fam,6,2259,450,217000
115,1Fam,6,2320,180,259500
116,TwnhsE,6,1458,440,176000
117,1Fam,5,1092,288,139000
118,1Fam,5,1125,430,155000
119,1Fam,7,3222,594,320000
120,1Fam,6,1456,390,163990
121,1Fam,6,988,540,180000
122,1Fam,4,1123,264,100000
123,1Fam,6,1080,288,136000
124,TwnhsE,6,1199,530,153900
125,1Fam,6,1586,435,181000
126,2FmCon,6,754,0,84500
127,TwnhsE,6,958,440,128000
128,1Fam,5,840,0,87000
129,1Fam,6,1348,453,155000
130,1Fam,5,1053,750,150000
131,1Fam,7,2157,487,226000
132,1Fam,6,2054,390,244000
133,1Fam,5,1327,624,150750
134,1Fam,8,1296,471,220000
135,1Fam,5,1721,440,180000
136,1Fam,7,1682,530,174000
137,1Fam,5,1214,318,143000
138,Duplx,7,1959,766,171000
139,1Fam,8,1852,660,230000
140,1Fam,6,1764,470,231500
141,1Fam,4,864,0,115000
142,1Fam,7,1734,660,260000
143,1Fam,5,1385,720,166000
144,1Fam,7,1501,577,204000
145,Duplx,5,1728,504,125000
146,TwnhsI,6,1709,380,130000
147,1Fam,5,875,180,105000
148,1Fam,7,2035,434,222500
149,1Fam,7,1080,0,141000
150,1Fam,5,1344,240,115000
151,1Fam,5,969,440,122000
152,1Fam,8,1710,866,372402
153,1Fam,6,1993,495,190000
154,1Fam,6,1252,564,235000
155,1Fam,6,1200,312,125000
156,1Fam,6,1096,0,79000
157,1Fam,5,1040,625,109500
158,1Fam,8,1968,680,269500
159,1Fam,7,1947,678,254900
160,1Fam,7,2462,576,320000
161,1Fam,6,1232,516,162500
162,1Fam,9,2668,726,412500
163,1Fam,7,1541,532,220000
164,1Fam,4,882,0,103200
165,1Fam,6,1616,216,152000
166,2FmCon,5,1355,0,127500
167,1Fam,5,1867,303,190000
168,1Fam,8,2161,789,325624
169,1Fam,7,1720,440,183500
170,1Fam,8,1707,511,228000
171,1Fam,5,1382,660,128500
172,1Fam,6,1656,528,215000
173,TwnhsE,7,1767,504,239000
174,1Fam,6,1362,504,163000
175,1Fam,6,1651,616,184000
176,1Fam,6,2158,576,243000
177,1Fam,6,2060,521,211000
178,1Fam,5,1920,451,172500
179,1Fam,9,2234,1166,501837
180,1Fam,5,968,480,100000
181,TwnhsI,6,1525,440,177000
182,1Fam,7,1802,216,200100
183,1Fam,5,1340,252,120000
184,1Fam,7,2082,484,200000
185,1Fam,5,1252,576,127000
186,1Fam,10,3608,840,475000
187,1Fam,7,1217,497,173000
188,1Fam,5,1656,180,135000
189,Duplx,5,1224,528,153337
190,TwnhsE,8,1593,682,286000
191,1Fam,8,2727,440,315000
192,1Fam,7,1479,484,184000
193,1Fam,7,1431,666,192000
194,TwnhsI,7,1709,380,130000
195,1Fam,5,864,352,127000
196,TwnhsI,6,1456,440,148500
197,1Fam,7,1726,786,311872
198,1Fam,8,3112,795,235000
199,1Fam,6,2229,0,104000
200,1Fam,8,1713,856,274900
201,1Fam,4,1121,440,140000
202,1Fam,6,1279,473,171500
203,1Fam,6,1310,398,112000
204,TwnhsE,6,848,420,149000
205,1Fam,5,1284,240,110000
206,1Fam,7,1442,500,180500
207,1Fam,5,1696,349,143900
208,1Fam,4,1100,312,141000
209,1Fam,7,2062,454,277000
210,1Fam,6,1092,504,145000
211,1Fam,5,864,0,98000
212,1Fam,6,1212,460,186000
213,1Fam,7,1852,644,252678
214,1Fam,5,990,576,156000
